79 86 82 8 9 90 18 99 | 66 65 77 37 96 39 8 72
86 27 76 57 27 29 0 26 89 | 18 67 44 93 25 23 92 84 14
26 | 70
14 54 73 7 | 64 82 10 92
51 76 31 32 48 92 | 6 36 56 43 12 59
99 61 35 51 46 35 69 95 81 | 57 65 93 82 58 87 15 49 30
90 96 79 12 35 95 35 | 24 49 28 66 17 9 93
92 74 | 75 88
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
31 | 51
63 46 46 32 21 40 61 | 76 34 37 43 69 83 73
64 97 61 8 85 87 13 25 60 | 41 5 25 21 84 61 69 37 9
80 33 | 69 56
41 73 74 | 71 7 59
22 86 24 3 28 40 16 23 97 | 25 63 7 38 16 25 81 9 90
15 36 66 | 31 33 42
88 64 41 64 58 58 43 74 | 78 74 82 37 54 96 84 44
52 70 | 0 50
41 33 71 | 37 52 68
4 3 77 16 0 | 73 94 75 30 32
8 67 46 65 47 73 85 46 | 43 75 14 57 73 56 36 17
65 91 31 5 54 97 53 | 40 2 24 57 2 22 44
43 17 9 49 21 58 | 0 75 91 61 28 6
4 23 8 3 73 62 | 82 26 82 61 11 50
89 10 88 | 94 83 9
93 17 22 50 55 49 14 56 22 24 | 9 48 42 81 54 22 77 48 58 56
15 | 90
63 78 79 80 | 42 88 21 89
89 52 1 23 5 | 24 33 85 31 6
63 96 60 26 91 99 | 13 53 85 47 90 59
94 19 66 1 35 68 45 46 | 42 77 18 62 36 79 35 23
11 86 44 32 52 66 38 | 65 45 9 53 13 36 87
51 7 96 1 55 33 | 45 19 37 13 3 99
29 20 64 41 35 34 23 42 83 | 32 7 64 93 89 15 99 42 12
76 | 13
88 55 50 98 36 96 35 18 | 98 4 16 91 97 83 24 34
56 25 34 | 38 14 76
1 75 46 75 71 97 17 79 | 81 87 90 94 71 12 55 60
68 29 30 35 61 | 74 45 40 11 61
27 79 11 96 80 93 29 | 44 40 72 81 41 73 35
