71,72,73,74,75,76,77,78,79,80,81,82,83,84,85;64,65,66,67,68,69,70,71,72,73,74,75,76,77
9,10,11;11,12,13
68,69,70,71,72,73,74,75,76,77;95,96,97,98,99,100,101,102
20,25,36,45,89;25,36,77,88,98
91,92,93,94,95,96,97,98,99,100,101,102,103;52,53,54,55,56
59,60,61,62,63,64,65,66,67,68,69;96,97,98,99,100,101,102,103,104,105,106
70,71,72,73,74,75,76,77;57,58,59,60,61
75,76,77,78,79,80,81,82,83,84;50,51,52,53,54,55,56,57,58,59,60,61,62
1,2,3,4;3,4,5,6
64,65,66,67,68;74,75,76,77,78,79,80,81,82,83,84,85
70,71,72,73,74,75,76,77,78,79,80,81,82;99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
58,59,60,61,62,63,64,65,66,67,68,69,70;92,93,94,95,96,97,98,99,100
78,79,80,81,82,83,84,85,86;94,95,96,97,98,99,100,101,102,103,104,105,106
91,92,93,94,95;50,51,52,53,54,55,56,57,58,59,60,61,62,63
74,75,76,77,78,79;78,79,80,81,82,83,84,85,86,87,88,89
65,66,67,68,69,70,71,72,73,74,75,76;97,98,99,100,101,102,103,104,105,106,107,108,109,110
9,10,11;33,34,35
61,62,63,64,65,66,67,68,69,70;77,78,79,80,81,82,83,84
55,56,57,58,59,60,61,62,63,64,65;99,100,101,102,103,104,105,106,107,108,109,110,111
69,70,71,72,73,74,75,76,77,78;83,84,85,86,87,88,89,90,91,92,93
